### SYSTEM         = Linux lass 4.13.0-ziggurat4 #1 SMP Fri Dec 11 05:42:45 PST 2020 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 8G
### DURATION       = 15s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,NVMM,mem
### FS_TYPES       = ext4,ext4_data_jnl,xfs,ext4_dax,xfs_dax,btrfs,f2fs,NOVA,pmfs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL
### NCORES         = 1,2,4,7,15,21,28,30,35,42,45,49,56,60,63,70,75,77,84,90,98,105,112,120
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119


### MODEL_NAME     = Intel(R) Xeon(R) CPU E7-8870 v2 @ 2.30GHz
### PHYSICAL_CHIPS = 8
### CORE_PER_CHIP  = 15
### SMT_LEVEL      = 1


## NVMM:NOVA:DWOM:120:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

120 19.410414 2036769.000000 104931.764799 19.5051 1.55 0 45.44 2285.7 0.02 0 0.06 0 0 0.0662219 0 1.94137 97.6539 0.000854477 0 0.00256343 0 0

## NVMM:NOVA:DWOM:112:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

112 16.201095 1783537.000000 110087.438603 16.3093 1.01 0 31.46 1918.38 0.05 0 0.03 0 0 0.0516066 0 1.60747 98.0208 0.00255478 0 0.00153287 0 0

## NVMM:NOVA:DWOM:105:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

105 24.252397 2680096.000000 110508.498039 24.3622 1.39 0 45.54 2866.69 0.01 0 0.01 0 0 0.0475462 0 1.55774 98.0578 0.000342059 0 0.000342059 0 0

## NVMM:NOVA:DWOM:98:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

98 15.814216 1859639.000000 117592.865862 15.8964 1.26 0 39.62 1860.67 0.01 0 0.05 0 0 0.0660527 0 2.07699 97.5415 0.000524228 0 0.00262114 0 0

## NVMM:NOVA:DWOM:90:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

