### SYSTEM         = Linux lass 4.13.0-ziggurat4 #1 SMP Fri Dec 11 05:42:45 PST 2020 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 8G
### DURATION       = 15s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,NVMM,mem
### FS_TYPES       = ext4,ext4_data_jnl,xfs,ext4_dax,xfs_dax,btrfs,f2fs,NOVA,pmfs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL
### NCORES         = 1,2,4,7,15,21,28,30,35,42,45,49,56,60,63,70,75,77,84,90,98,105,112,120
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119


### MODEL_NAME     = Intel(R) Xeon(R) CPU E7-8870 v2 @ 2.30GHz
### PHYSICAL_CHIPS = 8
### CORE_PER_CHIP  = 15
### SMT_LEVEL      = 1


## NVMM:NOVA:DWOM:120:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

120 22.736394 2476894.000000 108939.614771 22.8384 1.56 0 46.77 2683.36 0.03 0 0.01 0 0 0.0569216 0 1.70655 97.9109 0.00109465 0 0.000364882 0 0

## NVMM:NOVA:DWOM:112:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

112 18.842755 2152743.000000 114247.784913 18.9523 1.5 0 38.5 2227.13 0.04 0 0.03 0 0 0.065955 0 1.69285 97.927 0.0017588 0 0.0013191 0 0

## NVMM:NOVA:DWOM:105:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

105 17.704787 1974361.000000 111515.660538 17.8169 1.34 0 35.92 2093.43 0.01 0 0.02 0 0 0.0626745 0 1.68005 97.914 0.00046772 0 0.000935441 0 0

## NVMM:NOVA:DWOM:98:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

98 16.861871 1913932.000000 113506.499998 16.9467 1.28 0 31.48 1994.79 0.03 0 0.03 0 0 0.0629426 0 1.548 98.0917 0.00147522 0 0.00147522 0 0

## NVMM:NOVA:DWOM:90:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

90 18.392698 2091015.000000 113687.237609 18.5017 0.81 0 41.26 2171.01 0.03 0 0.04 0 0 0.0364832 0 1.85839 97.7845 0.00135123 0 0.00180164 0 0

## NVMM:NOVA:DWOM:84:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

84 17.564887 2091451.000000 119069.993860 17.6479 1.12 0 37.58 2073.31 0.02 0 0 0 0 0.0528863 0 1.77453 97.9016 0.000944399 0 0 0 0

## NVMM:NOVA:DWOM:77:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

77 17.745492 2116111.000000 119247.804180 17.827 1 0 41.87 2089.92 0.01 0 0.03 0 0 0.0467455 0 1.95724 97.6944 0.000467455 0 0.00140237 0 0

## NVMM:NOVA:DWOM:75:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

75 15.615280 1844030.000000 118091.379565 15.7006 0.69 0 47.52 1829.72 0.04 0 0.02 0 0 0.0366229 0 2.5222 97.1154 0.00212307 0 0.00106153 0 0

## NVMM:NOVA:DWOM:70:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

70 16.792775 2029147.000000 120834.527515 16.8908 0.67 0 38.05 1981.98 0.05 0 0.02 0 0 0.0330554 0 1.87725 97.7839 0.00246682 0 0.000986729 0 0

## NVMM:NOVA:DWOM:63:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

63 15.845301 1990559.000000 125624.562259 15.9542 0.88 0 32.95 1874.75 0.01 0 0 0 0 0.0459649 0 1.72107 97.9236 0.000522329 0 0 0 0

## NVMM:NOVA:DWOM:60:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

60 15.628280 1940553.000000 124169.328229 15.7114 0.81 0 38.71 1840 0.02 0 0.02 0 0 0.0429624 0 2.05318 97.5935 0.0010608 0 0.0010608 0 0

## NVMM:NOVA:DWOM:56:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

56 16.593006 2029828.000000 122330.333413 16.6774 0.76 0 42.47 1951.62 0.01 0 0.01 0 0 0.0379755 0 2.12213 97.518 0.000499677 0 0.000499677 0 0

## NVMM:NOVA:DWOM:49:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

49 16.570043 2141330.000000 129228.996032 16.6557 0.48 0 28.63 1962.64 0.01 0 0.03 0 0 0.0240158 0 1.43244 98.1965 0.000500329 0 0.00150099 0 0

## NVMM:NOVA:DWOM:45:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

45 15.688778 1795796.000000 114463.726227 15.7875 0.64 0 33.39 1854.32 0.02 0 0.02 0 0 0.033782 0 1.76247 97.8793 0.00105569 0 0.00105569 0 0

## NVMM:NOVA:DWOM:42:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

42 16.077951 1958837.000000 121833.746645 16.1612 0.42 0 26.12 1905.74 0.01 0 0 0 0 0.0216569 0 1.34685 98.2675 0.000515639 0 0 0 0

## NVMM:NOVA:DWOM:35:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

35 16.699976 2286855.000000 136937.625461 16.8149 0.52 0 36.18 1974.19 0.01 0 0.01 0 0 0.0257708 0 1.79305 97.8393 0.000495592 0 0.000495592 0 0

## NVMM:NOVA:DWOM:30:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

30 16.181200 2311636.000000 142859.370604 16.2662 0.43 0 40.7 1904.53 0.01 0 0.02 0 0 0.0220294 0 2.08511 97.5712 0.000512311 0 0.00102462 0 0

## NVMM:NOVA:DWOM:28:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

28 15.370754 2270275.000000 147700.953110 15.4585 0.44 0 25.41 1822.12 0 0 0 0 0 0.0237195 0 1.3698 98.2266 0 0 0 0 0

## NVMM:NOVA:DWOM:21:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

21 15.404354 2686262.000000 174383.295567 15.4906 0.25 0 98.43 1755.84 0.01 0 0.04 0 0 0.013449 0 5.29514 94.4572 0.00053796 0 0.00215184 0 0

## NVMM:NOVA:DWOM:15:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

15 16.978641 3237458.000000 190678.280055 17.0646 0.3 0 25.93 2012.48 0 0 0.03 0 0 0.0146502 0 1.26626 98.2773 0 0 0.00146502 0 0

## NVMM:NOVA:DWOM:7:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

7 15.446746 3068503.000000 198650.443481 15.5302 0.2 0 23.86 1831.28 0.01 0 0.04 0 0 0.0107318 0 1.2803 98.2642 0.000536588 0 0.00214635 0 0

## NVMM:NOVA:DWOM:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 15.242500 2966426.000000 194615.450221 15.3244 0.16 0 23.58 1807.39 0 0 0.02 0 0 0.00870073 0 1.28227 98.2851 0 0 0.00108759 0 0

## NVMM:NOVA:DWOM:2:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

2 15.000032 2950508.000000 196700.120263 15.0801 0.13 0 21.48 1782.08 0 0 0.02 0 0 0.00718386 0 1.18699 98.4785 0 0 0.00110521 0 0

## NVMM:NOVA:DWOM:1:directio
